Name,Gender,Grade,Because I need at least a high-school degree in order to find a high-paying job later on.,Because I experience pleasure and satisfaction while learning new things.,Because I think that a high-school education will help me better prepare for the career I have chosen.,Because I really like going to school.,"Honestly, I don't know; I really feel that I am wasting my time in school.",For the pleasure I experience while surpassing myself in my studies.,To prove to myself that I am capable of completing my high-school degree.,In order to obtain a more prestigious job later on.,For the pleasure I experience when I discover new things never seen before.,Because eventually it will enable me to enter the job market in a field that I like.,"Because for me, school is fun.","I once had good reasons for going to school; however, now I wonder whether I should continue.",For the pleasure that I experience while I am surpassing myself in one of my personal accomplishments.,"Because of the fact that when I succeed in school I feel
important.","Because I want to have ""the good life"" later on.","For the pleasure that I experience in broadening my
knowledge about subjects which appeal to me.",Because this will help me make a better choice regarding my career orientation.,"For the pleasure that I experience when I am taken by
discussions with interesting teachers.","I can't see why I go to school and frankly, I couldn't care
less.","For the satisfaction I feel when I am in the process of
accomplishing difficult academic activities.",To show myself that I am an intelligent person.,In order to have a better salary later on.,"Because my studies allow me to continue to learn about
many things that interest me.","Because I believe that my high school education will
improve my competence as a worker.","For the ""high"" feeling that I experience while reading about various interesting subjects.",I don't know; I can't understand what I am doing in school.,Because high school allows me to experience a personal satisfaction in my quest for excellence in my studies.,"Because I want to show myself that I can succeed in my
studies."
501,Male,6,3,4,7,6,5,3,5,7,6,3,7,2,2,5,7,7,7,2,6,7,6,7,3,3,3,1,4,4
502,Female,12,2,5,7,4,3,6,6,2,4,5,4,2,4,4,6,2,3,1,5,6,3,1,2,1,6,5,1,5
503,Female,5,1,2,3,4,1,4,5,2,7,2,5,1,1,7,7,5,3,6,3,5,6,1,3,2,7,6,1,7
504,Female,8,6,4,2,7,1,4,1,5,5,7,3,7,6,5,3,3,2,5,5,6,3,2,3,2,7,6,6,3
505,Female,11,5,4,6,1,3,2,4,1,4,2,5,3,6,2,4,2,2,6,7,7,1,7,4,4,7,1,5,2
506,Female,2,4,1,5,1,2,4,7,3,4,6,7,2,1,1,7,2,7,1,6,5,7,3,3,7,1,4,2,1
507,Female,12,3,2,5,6,3,2,3,4,4,5,4,4,5,7,6,1,3,4,1,7,3,7,7,1,5,5,7,6
508,Female,12,4,3,4,4,2,5,4,5,5,2,3,7,2,4,2,3,4,3,6,4,3,6,1,4,7,3,5,6
509,Female,12,6,6,5,5,1,2,7,6,5,7,4,1,5,1,2,2,7,6,2,7,6,3,7,2,1,4,3,6
510,Male,7,3,6,7,5,5,7,7,2,3,4,4,2,6,2,3,2,5,7,5,3,7,3,1,7,2,2,1,2
