Name,Gender,Grade,Because I need at least a high-school degree in order to find a high-paying job later on.,Because I experience pleasure and satisfaction while learning new things.,Because I think that a high-school education will help me better prepare for the career I have chosen.,Because I really like going to school.,"Honestly, I don't know; I really feel that I am wasting my time in school.",For the pleasure I experience while surpassing myself in my studies.,To prove to myself that I am capable of completing my high-school degree.,In order to obtain a more prestigious job later on.,For the pleasure I experience when I discover new things never seen before.,Because eventually it will enable me to enter the job market in a field that I like.,"Because for me, school is fun.","I once had good reasons for going to school; however, now I wonder whether I should continue.",For the pleasure that I experience while I am surpassing myself in one of my personal accomplishments.,"Because of the fact that when I succeed in school I feel
important.","Because I want to have ""the good life"" later on.","For the pleasure that I experience in broadening my
knowledge about subjects which appeal to me.",Because this will help me make a better choice regarding my career orientation.,"For the pleasure that I experience when I am taken by
discussions with interesting teachers.","I can't see why I go to school and frankly, I couldn't care
less.","For the satisfaction I feel when I am in the process of
accomplishing difficult academic activities.",To show myself that I am an intelligent person.,In order to have a better salary later on.,"Because my studies allow me to continue to learn about
many things that interest me.","Because I believe that my high school education will
improve my competence as a worker.","For the ""high"" feeling that I experience while reading about various interesting subjects.",I don't know; I can't understand what I am doing in school.,Because high school allows me to experience a personal satisfaction in my quest for excellence in my studies.,"Because I want to show myself that I can succeed in my
studies."
2001,Male,4,1,1,6,2,4,2,5,2,3,7,2,3,6,6,4,6,3,1,4,5,2,3,3,4,3,3,6,2
2002,Female,7,7,4,2,3,7,4,5,3,2,7,7,4,6,4,6,4,6,2,5,4,7,3,6,6,4,1,4,5
2003,Female,10,5,6,3,5,5,2,7,5,4,3,6,1,4,5,7,3,3,4,3,4,7,1,2,7,4,5,2,5
2004,Female,12,1,1,6,4,1,2,4,2,2,2,4,5,5,7,4,6,7,5,5,1,1,4,7,3,3,4,1,5
2005,Female,6,1,3,5,4,6,5,1,6,3,2,5,3,2,3,1,4,7,2,7,3,5,4,3,7,7,4,6,7
2006,Female,6,6,1,3,7,1,2,4,1,4,5,6,5,4,4,6,3,1,7,5,5,4,5,4,1,3,5,3,1
2007,Male,3,3,6,6,4,1,5,4,4,1,5,1,2,2,1,4,3,2,7,3,2,5,4,7,1,3,2,3,7
2008,Female,2,3,3,3,1,3,5,3,5,5,1,3,6,3,3,6,6,7,7,7,2,2,5,2,6,1,4,2,3
2009,Female,8,5,6,2,2,1,1,5,7,7,1,2,7,2,4,2,3,6,5,3,2,5,4,5,4,1,5,5,4
2010,Female,9,1,6,2,4,6,4,7,4,1,6,3,3,3,2,7,1,1,2,4,6,7,2,7,2,2,6,4,6
2011,Male,3,6,1,4,4,4,3,4,2,6,2,7,5,2,6,6,3,4,3,7,4,4,1,4,4,3,7,1,2
2012,Male,2,5,4,1,3,2,6,5,7,7,2,1,4,3,5,3,1,7,5,2,4,4,7,3,3,5,5,3,5
2013,Female,12,7,7,4,2,7,2,3,3,7,4,1,5,2,7,7,4,1,1,6,2,4,3,4,4,2,7,4,2
2014,Female,8,4,6,1,1,7,2,5,6,4,4,6,6,3,1,5,3,4,4,3,5,5,5,5,7,2,4,4,1
2015,Male,7,5,5,7,7,5,4,4,3,3,2,3,1,4,2,3,7,3,2,3,4,3,2,2,7,4,3,3,5
2016,Male,12,3,3,3,3,1,7,4,3,7,2,7,7,2,6,6,4,3,2,1,5,1,7,3,3,4,4,1,3
2017,Male,4,7,2,3,5,4,6,7,4,6,1,5,3,3,7,4,1,6,1,4,2,1,1,6,1,1,2,1,5
2018,Female,12,7,3,7,3,6,6,2,5,5,1,5,5,4,2,6,4,5,7,3,1,2,6,2,4,3,6,4,4
2019,Female,9,1,2,6,6,2,1,2,5,3,7,4,7,3,7,5,5,7,5,1,1,2,5,7,4,1,3,1,4
2020,Male,10,4,5,7,5,5,7,1,1,1,5,4,3,5,2,7,6,7,7,5,3,7,4,5,2,5,2,7,6
2021,Male,1,3,2,1,6,1,6,6,3,6,6,2,4,4,6,4,6,6,3,6,2,4,2,2,7,4,2,3,6
2022,Female,6,1,4,5,6,3,1,7,6,6,7,6,5,5,3,6,1,7,5,7,4,6,3,1,3,1,5,2,6
2023,Male,9,1,4,5,7,6,4,1,5,6,2,4,5,1,5,3,3,4,4,5,7,5,3,4,6,2,3,5,2
2024,Male,10,1,4,6,1,3,1,7,4,5,6,4,3,1,4,1,1,5,5,7,1,7,6,1,5,3,6,1,6
2025,Male,5,5,4,5,1,7,5,1,3,6,4,5,3,6,5,2,5,6,1,2,6,4,7,1,5,5,5,7,6
2026,Female,5,2,2,1,1,4,1,3,1,6,3,7,1,2,6,6,2,2,7,2,7,6,7,6,3,4,3,4,7
2027,Female,10,1,6,2,7,6,3,4,6,2,6,3,1,6,1,2,1,3,3,5,2,6,1,1,7,1,6,1,3
2028,Female,12,1,3,7,3,7,2,1,5,4,4,6,1,6,4,4,6,7,5,2,6,4,1,4,4,6,7,1,1
2029,Male,9,7,2,1,3,7,3,6,1,7,2,6,7,2,6,6,4,7,1,1,4,5,2,3,4,2,1,5,3
2030,Female,8,3,1,2,3,4,3,6,2,7,5,6,1,6,3,2,1,4,4,6,2,4,5,6,3,6,6,1,5
2031,Male,3,2,2,6,6,3,2,6,4,4,7,7,4,1,3,3,3,7,5,1,3,5,7,4,1,4,7,6,6
2032,Female,3,5,7,3,1,4,1,1,2,6,2,7,3,5,4,3,1,5,5,1,1,2,3,7,2,4,5,2,7
2033,Male,9,5,1,1,4,5,1,2,7,2,2,1,3,5,7,2,7,2,5,4,4,4,1,7,5,4,5,4,1
2034,Male,10,4,1,1,1,6,7,4,3,7,3,2,2,7,4,6,7,5,3,4,1,4,6,6,2,1,6,7,1
2035,Male,2,7,5,4,1,2,6,5,2,4,5,4,7,5,5,2,5,2,1,6,2,4,1,7,7,3,2,2,6
2036,Female,1,7,2,6,6,3,7,4,5,5,4,3,3,6,6,1,2,4,7,5,1,7,4,3,1,6,3,4,7
2037,Male,3,5,6,5,3,5,1,2,5,5,3,7,4,2,2,1,2,1,5,4,4,3,4,3,3,3,1,5,4
2038,Male,7,3,3,1,2,6,1,1,7,4,1,1,6,4,6,3,7,1,5,6,7,5,7,3,1,3,6,1,5
2039,Male,8,7,1,6,1,1,6,7,3,4,2,2,3,6,4,4,6,3,7,7,7,4,4,6,3,1,2,4,6
2040,Male,1,6,1,4,7,1,3,6,5,1,7,7,6,2,4,2,4,1,1,3,1,3,6,6,4,2,4,4,1
2041,Female,3,7,2,4,4,4,5,2,7,2,6,3,6,6,5,4,2,2,6,4,4,2,6,1,2,1,6,1,6
2042,Male,8,2,6,4,4,5,5,4,6,7,1,2,3,4,2,1,3,2,1,6,5,6,5,7,5,2,5,6,7
2043,Male,7,5,1,6,4,1,3,2,3,5,1,6,7,5,4,5,5,5,5,1,2,1,4,4,2,1,1,4,5
2044,Female,5,5,4,3,1,7,7,3,1,5,7,2,1,2,6,1,2,6,4,3,4,1,3,6,7,1,3,2,5
2045,Male,9,5,3,7,6,7,4,6,6,3,1,6,6,1,3,5,6,5,5,5,2,1,2,5,5,1,6,2,1
2046,Female,1,1,7,7,1,1,5,5,1,3,1,6,4,1,7,6,5,4,7,3,5,3,4,4,3,7,5,6,4
2047,Female,8,2,7,5,5,7,7,7,1,2,6,2,6,6,2,3,3,4,1,6,5,1,6,5,3,2,2,2,6
2048,Male,7,4,5,6,2,3,5,1,2,5,7,6,7,4,4,6,5,7,5,4,5,5,7,4,7,1,5,6,4
2049,Female,5,1,2,4,7,4,4,5,7,1,7,7,2,4,6,4,1,6,3,6,6,4,2,3,5,4,2,7,4
2050,Male,1,3,6,7,7,1,5,2,3,3,6,5,2,7,1,2,1,7,3,3,3,4,3,6,1,5,7,3,3
2051,Male,12,1,4,7,4,4,3,1,1,6,4,6,5,4,3,2,5,5,3,3,6,1,1,2,2,5,7,4,1
2052,Male,3,3,2,6,3,2,3,7,3,6,4,4,1,5,2,1,1,6,6,4,3,1,1,4,2,1,6,4,7
2053,Male,12,6,6,7,5,4,5,1,6,1,5,5,6,2,2,3,2,1,5,1,7,6,3,3,6,6,2,2,6
2054,Female,3,6,3,3,6,4,7,5,3,6,5,7,1,3,7,5,5,6,1,2,3,7,4,6,1,2,4,6,4
2055,Male,1,3,5,4,4,4,3,4,5,1,2,7,3,7,6,5,4,2,6,7,4,5,1,3,2,2,1,5,4
2056,Male,4,6,2,2,2,5,2,4,3,5,1,5,1,3,1,4,7,4,2,5,7,5,7,2,1,1,1,4,7
2057,Female,6,2,2,3,4,7,4,2,6,1,1,3,1,1,3,7,2,5,5,2,6,4,1,1,6,1,5,5,3
2058,Female,8,7,3,4,5,2,2,6,3,4,5,7,5,2,5,2,4,6,1,2,6,3,7,7,5,6,7,6,6
2059,Male,1,4,6,3,3,7,3,5,3,3,1,1,2,6,7,4,3,4,6,6,2,7,4,1,2,2,1,4,6
2060,Female,11,1,1,5,6,7,2,7,3,6,7,4,6,4,2,2,6,1,7,4,6,1,2,6,2,3,3,3,6
2061,Female,2,7,5,3,6,7,5,3,7,2,3,4,1,6,5,6,6,3,6,1,1,2,4,4,3,4,2,3,3
2062,Female,1,2,3,6,5,3,1,4,6,3,7,1,1,3,3,2,6,4,7,2,5,4,5,7,5,5,6,4,1
2063,Male,11,1,2,2,5,1,6,1,3,7,7,5,1,7,3,5,4,3,7,3,6,6,5,4,5,3,2,1,3
2064,Female,2,6,6,3,7,2,7,7,5,2,4,6,6,3,3,4,6,4,1,7,6,7,3,6,2,2,7,6,6
2065,Male,8,7,6,7,4,7,3,7,5,1,1,6,5,1,4,5,7,5,6,7,6,3,4,5,4,4,1,4,5
2066,Male,10,6,1,1,2,4,5,3,1,2,3,3,7,7,6,1,1,4,7,5,1,2,1,1,5,2,2,2,4
2067,Male,7,5,3,4,3,2,5,3,4,4,7,3,3,7,3,5,3,5,7,6,1,6,7,5,5,7,6,4,1
2068,Male,6,1,3,3,5,4,6,4,4,5,3,4,4,1,2,5,2,1,1,2,1,5,4,3,3,5,5,2,7
2069,Female,6,2,3,2,7,1,3,5,2,2,3,1,7,5,6,3,1,3,2,4,7,7,1,3,1,5,7,6,7
2070,Female,8,7,3,5,6,4,2,1,1,3,5,1,3,3,7,5,2,3,6,1,6,5,2,6,4,2,3,6,7
2071,Female,9,1,5,4,5,5,4,1,7,4,3,3,1,6,3,5,4,4,1,5,1,4,6,4,6,7,5,4,1
2072,Male,7,5,2,5,1,3,6,1,5,6,6,7,3,6,7,5,1,7,3,7,7,1,2,7,5,6,7,2,3
2073,Female,12,6,6,1,7,1,5,1,5,6,1,6,3,6,7,7,2,2,3,1,7,5,5,7,1,7,2,3,1
2074,Male,4,3,1,1,6,1,2,5,5,6,3,2,4,2,6,5,3,1,4,2,5,1,1,3,2,2,7,7,3
2075,Male,3,2,4,1,5,5,1,3,5,7,2,6,3,7,1,6,3,2,5,6,5,3,5,2,3,2,2,4,4
2076,Female,1,2,3,6,7,1,4,7,3,5,3,1,5,3,5,4,4,2,4,6,7,1,3,5,1,3,7,4,5
2077,Male,3,1,5,3,3,1,5,5,5,5,5,5,7,7,1,2,6,1,7,2,6,4,2,3,7,1,7,4,5
2078,Male,11,3,3,4,4,6,2,5,2,2,4,6,2,1,7,1,5,6,5,2,7,6,2,6,7,4,4,3,7
2079,Female,8,1,3,7,3,5,3,7,7,5,6,3,4,5,7,1,1,7,6,2,4,5,1,5,1,4,6,2,4
2080,Male,4,6,1,6,5,2,5,7,3,2,5,4,2,2,2,5,3,1,3,6,2,2,3,3,4,1,6,2,3
2081,Male,10,5,4,1,2,7,5,2,7,6,4,1,4,4,4,7,6,1,6,6,1,4,2,2,1,1,1,4,5
2082,Male,1,4,2,7,1,6,3,7,2,2,3,3,3,5,6,3,2,4,3,5,4,6,2,2,3,1,5,6,7
2083,Male,2,1,7,7,4,6,7,2,3,5,7,4,2,5,7,4,4,6,5,4,3,1,5,7,6,1,1,4,5
2084,Male,2,4,6,1,1,7,4,1,1,4,6,7,6,4,4,4,7,7,7,3,2,5,6,6,7,2,2,6,4
2085,Male,4,6,3,7,6,6,4,7,2,4,5,1,7,4,5,4,7,3,1,6,6,5,5,1,4,4,3,1,6
2086,Female,1,7,5,4,7,1,1,2,6,3,4,4,1,4,6,1,4,5,2,6,3,3,2,3,4,4,7,5,7
2087,Female,12,4,7,6,4,6,2,2,3,5,2,4,1,5,7,1,5,4,6,4,7,6,4,1,2,2,6,4,5
2088,Female,2,1,2,1,3,6,5,4,3,3,3,2,4,2,1,2,1,7,5,6,1,2,1,3,5,2,7,5,4
2089,Female,11,7,4,3,2,3,2,6,1,7,3,6,7,1,6,7,7,7,2,6,3,2,3,3,3,5,1,3,2
2090,Female,9,1,7,7,6,3,1,7,7,7,5,6,2,5,7,1,6,3,1,4,7,1,3,6,2,4,2,3,1
2091,Male,10,4,4,1,7,6,6,5,1,5,4,5,4,1,1,3,3,2,4,3,2,7,3,7,5,2,5,7,3
2092,Male,4,4,3,7,2,5,5,5,5,4,4,7,6,7,2,6,5,7,1,5,6,7,7,2,7,3,7,7,2
2093,Female,8,5,5,3,6,5,2,3,5,5,4,2,1,1,3,3,4,2,6,7,1,2,1,1,3,1,3,7,1
2094,Male,12,7,7,3,7,3,6,5,2,3,4,3,1,4,5,1,6,7,6,2,5,6,7,5,7,5,1,5,5
2095,Female,12,4,3,2,1,4,4,5,6,2,4,6,2,3,4,4,5,3,5,5,2,6,4,5,3,7,2,4,1
2096,Female,2,4,7,1,5,2,1,1,7,6,2,1,4,1,5,4,3,4,6,7,5,7,3,6,2,6,4,2,2
2097,Female,7,7,6,1,4,6,5,6,1,4,7,5,6,2,6,6,2,6,7,6,6,4,5,4,4,6,3,7,1
2098,Male,7,6,6,3,2,7,7,6,7,7,3,4,4,5,4,1,6,4,2,4,6,5,5,7,7,2,2,6,7
2099,Female,4,7,5,3,2,1,5,3,7,3,3,1,2,7,5,7,3,4,3,4,5,7,7,2,4,6,4,4,4
2100,Male,5,6,4,3,1,4,5,6,5,4,1,7,2,4,4,1,7,5,5,5,5,7,3,6,7,4,7,3,5
2101,Male,4,7,6,7,7,1,1,5,6,1,3,6,4,5,6,5,3,7,2,1,7,1,7,1,3,7,6,2,5
2102,Male,2,7,3,7,1,4,5,2,4,5,2,3,7,2,7,6,4,1,3,4,4,2,5,4,5,5,2,6,6
2103,Female,11,5,2,7,6,2,3,6,6,4,7,6,2,7,2,5,1,5,6,2,5,7,3,6,3,3,3,4,4
2104,Male,9,1,3,4,1,4,3,4,5,7,7,6,7,6,1,2,7,4,3,7,2,3,6,4,3,3,4,7,6
2105,Female,11,1,1,7,6,2,5,3,2,1,5,1,4,2,4,3,3,6,7,4,4,3,2,7,4,1,1,6,5
2106,Female,12,6,5,1,1,2,6,6,4,7,4,2,4,5,3,2,2,7,2,3,1,7,3,3,1,1,6,4,4
2107,Female,6,5,6,4,5,1,5,5,3,2,6,5,2,6,3,4,3,3,1,7,7,6,5,7,5,5,2,7,6
2108,Female,6,2,3,1,5,6,7,5,5,7,1,2,3,5,1,6,7,3,7,5,7,4,4,2,1,4,4,4,2
2109,Male,12,2,7,5,6,6,6,3,3,2,2,4,3,4,1,3,3,7,5,7,5,7,2,5,3,4,7,1,1
2110,Male,10,2,6,1,1,2,6,1,6,5,1,4,3,7,5,2,3,6,2,4,3,6,7,7,3,7,7,4,2
2111,Female,11,6,5,3,7,7,2,4,5,3,3,2,7,6,1,6,5,2,1,5,1,4,1,1,6,3,6,3,7
2112,Female,10,3,6,7,3,7,5,1,2,4,5,3,4,2,2,4,5,4,3,5,1,3,4,5,1,5,2,4,5
2113,Male,10,3,4,3,7,6,7,7,6,3,6,3,3,6,4,5,2,4,5,5,1,4,1,4,4,3,1,5,3
2114,Male,11,6,3,5,5,6,5,6,3,2,3,7,6,3,7,6,5,4,6,3,5,7,5,1,3,5,1,4,3
2115,Male,2,7,7,4,2,7,3,3,2,4,2,5,7,3,4,1,1,6,2,4,6,2,5,6,5,5,2,7,1
2116,Male,8,7,5,2,2,3,5,2,4,3,3,3,2,2,7,1,6,4,5,5,7,7,1,2,6,4,7,5,3
2117,Female,2,5,3,6,5,6,5,4,7,6,3,1,7,4,7,5,5,5,7,7,6,2,1,4,4,2,1,6,3
2118,Female,10,7,6,5,2,7,2,4,1,7,6,4,6,1,7,2,6,7,1,7,2,7,2,1,6,7,7,4,7
2119,Female,12,6,5,7,2,7,2,3,3,4,6,6,3,3,7,3,1,6,6,2,1,6,7,6,2,7,7,1,7
2120,Female,12,4,3,2,4,5,5,1,6,1,5,3,6,3,4,1,1,2,1,3,4,7,3,2,7,6,7,1,6
2121,Male,3,1,6,3,7,3,5,2,5,5,5,5,7,1,6,2,1,2,6,5,1,3,4,7,1,2,4,4,3
2122,Male,9,7,6,4,7,5,5,1,3,6,7,6,2,6,1,5,4,7,7,4,6,6,4,7,1,4,7,3,5
2123,Male,8,1,3,7,7,4,7,4,5,4,5,3,2,4,6,2,4,3,3,6,1,4,6,5,7,2,5,6,7
2124,Female,12,2,4,3,7,2,4,6,4,7,4,3,7,4,5,4,5,4,2,1,3,3,6,2,1,5,4,4,6
2125,Female,1,4,5,1,1,2,6,2,3,4,5,4,5,4,3,7,3,6,4,1,4,6,7,3,6,1,6,5,3
2126,Female,7,3,2,5,6,3,7,7,7,2,6,1,2,1,6,2,2,5,2,6,7,7,2,3,7,3,2,1,3
2127,Female,7,7,2,4,6,1,2,3,6,5,3,4,3,1,2,3,1,1,3,1,3,5,7,2,4,4,7,3,6
2128,Male,6,3,4,3,4,3,2,6,7,7,1,4,6,7,1,2,2,1,1,6,5,3,2,1,3,4,2,7,1
2129,Female,1,7,4,1,2,6,1,4,2,4,2,7,3,3,4,5,2,4,7,1,2,1,6,4,5,5,4,1,5
2130,Male,5,5,1,2,5,1,5,6,6,3,2,5,4,6,4,3,7,2,6,7,2,7,4,7,2,7,7,5,2
2131,Male,8,5,2,2,4,3,4,1,3,2,4,4,5,5,6,2,4,3,4,3,4,7,6,7,3,3,4,5,5
2132,Male,3,5,5,4,3,3,7,4,6,3,6,4,7,3,7,7,3,4,6,2,2,7,4,1,3,5,1,4,5
2133,Female,2,6,6,6,4,3,5,4,1,3,3,6,6,6,6,2,2,4,4,7,3,5,7,1,3,5,1,1,5
2134,Male,10,3,3,2,5,6,5,3,6,2,2,6,2,6,7,7,1,6,4,5,3,7,3,7,6,4,7,6,3
2135,Female,7,6,4,1,4,5,2,3,7,5,1,3,3,2,4,3,3,2,6,1,4,3,4,3,4,7,6,2,6
2136,Female,9,3,5,1,1,2,6,7,5,2,2,7,2,4,6,7,3,4,7,7,4,4,2,6,6,1,1,2,2
2137,Female,12,1,4,2,1,2,4,4,1,3,6,5,3,4,6,3,5,4,5,6,1,4,5,6,4,1,4,5,7
2138,Female,10,2,5,1,1,1,5,1,1,6,5,2,7,5,2,3,1,2,3,1,3,7,2,7,5,1,2,7,2
2139,Female,10,4,3,6,1,1,1,3,5,3,7,2,2,4,5,2,4,5,1,3,5,7,1,5,7,4,4,7,4
2140,Male,6,4,3,3,4,6,2,2,7,5,4,5,3,2,4,2,3,1,2,1,6,4,2,1,6,4,1,3,6
2141,Male,10,2,1,7,7,2,4,5,6,6,5,6,7,7,4,6,1,1,4,7,3,7,4,4,3,5,1,6,7
2142,Male,1,6,7,1,4,5,4,2,5,3,2,3,6,2,6,7,4,7,5,5,5,2,1,4,2,7,1,5,4
2143,Female,9,4,1,4,3,3,2,2,4,2,2,1,4,6,7,5,3,4,4,1,3,3,1,4,6,6,4,4,6
2144,Male,9,5,1,1,5,3,4,1,1,5,3,7,6,4,7,4,6,5,4,1,3,1,2,4,5,1,4,3,6
2145,Male,9,5,4,2,2,7,3,2,6,4,2,1,3,5,2,6,6,3,1,4,1,5,7,6,6,3,5,2,1
2146,Female,10,6,3,6,7,3,2,7,3,3,5,1,2,3,6,4,7,4,7,1,5,2,3,4,6,3,3,5,7
2147,Male,12,1,5,7,4,6,2,4,2,4,2,2,3,5,5,7,5,3,5,4,6,1,7,3,2,6,2,3,7
2148,Male,10,6,1,2,4,1,7,6,4,6,6,3,6,2,1,2,3,4,2,6,4,4,3,5,7,2,1,5,1
2149,Female,12,7,7,7,4,7,7,3,3,5,5,6,3,5,7,7,6,4,4,2,4,3,1,6,1,3,5,5,1
2150,Female,8,6,5,3,6,7,7,7,2,7,2,2,1,7,6,6,7,6,7,7,5,4,4,6,5,1,1,3,3
2151,Male,12,6,3,6,2,2,2,4,5,1,3,6,7,7,3,5,6,6,2,1,6,2,7,2,2,2,3,4,1
2152,Female,2,6,4,5,6,2,1,2,7,3,4,1,3,5,6,5,3,4,6,3,6,6,2,2,1,4,7,6,4
2153,Male,7,7,4,2,3,5,5,5,6,4,1,4,1,6,2,6,2,7,1,2,1,3,5,5,3,4,2,4,1
2154,Male,1,2,2,6,7,6,2,6,2,4,4,6,3,6,1,2,6,4,7,2,7,3,5,2,3,3,6,7,5
2155,Male,4,7,5,6,6,1,6,3,5,3,6,7,2,7,2,1,6,3,6,7,4,1,2,3,7,2,5,2,3
2156,Female,10,5,6,7,4,2,3,1,1,7,2,6,2,2,5,3,3,4,1,5,7,1,6,2,2,4,1,1,5
2157,Male,5,3,6,3,3,6,2,4,2,3,4,4,5,7,6,5,4,6,6,7,2,3,1,1,4,4,4,3,7
2158,Male,5,2,2,1,3,7,2,7,5,1,2,3,6,1,6,6,1,1,4,2,6,1,4,5,6,7,6,6,6
2159,Male,12,7,2,5,6,2,5,3,5,1,6,5,6,2,7,4,7,7,1,6,3,4,6,3,7,4,2,2,2
2160,Female,4,6,5,7,7,1,2,1,7,5,6,2,1,2,6,3,2,1,6,6,5,7,5,6,3,5,6,1,6
2161,Male,1,1,3,3,5,2,4,5,5,6,7,4,4,1,7,7,7,2,5,6,4,2,6,5,1,2,7,2,1
2162,Male,2,6,2,6,5,6,2,6,7,1,1,4,7,3,4,1,7,6,7,5,1,4,6,3,7,7,2,6,6
2163,Male,1,1,5,4,6,7,2,2,1,3,3,5,4,1,7,5,2,1,5,3,7,6,1,3,3,5,3,3,2
2164,Female,2,1,5,4,1,1,2,5,3,3,4,3,4,6,4,3,6,4,5,4,6,1,3,6,4,1,7,3,1
2165,Male,7,1,5,6,7,7,7,3,5,1,1,4,1,7,3,6,7,1,3,6,2,7,4,7,7,5,6,4,6
2166,Female,9,5,2,5,6,6,7,1,7,1,2,7,2,6,6,5,1,2,6,5,1,7,3,7,3,7,6,5,1
2167,Male,9,5,3,3,3,5,4,1,5,1,6,2,1,5,1,5,1,6,6,6,2,4,2,6,2,2,5,2,4
2168,Male,2,7,6,4,7,3,5,7,7,4,3,3,2,4,6,6,6,7,3,3,4,4,6,3,3,1,5,6,1
2169,Female,11,4,7,2,1,6,6,3,6,7,1,7,5,6,3,2,1,4,1,4,1,1,1,2,1,2,2,2,7
2170,Female,10,4,2,2,6,1,7,5,1,1,2,7,2,5,2,2,5,6,2,4,3,3,1,1,2,6,1,1,4
2171,Female,10,2,1,6,5,1,3,4,2,1,2,5,1,5,1,4,6,6,1,1,3,4,5,4,1,5,7,6,4
2172,Male,7,3,1,2,5,2,4,5,1,6,6,3,6,2,3,3,3,3,1,3,2,6,5,2,2,1,2,5,7
2173,Female,8,6,3,5,2,4,1,2,4,5,6,2,7,3,2,6,4,1,5,7,2,4,2,2,3,6,1,4,4
2174,Female,11,5,6,1,5,4,5,1,6,5,4,5,4,6,3,7,1,3,4,2,5,2,1,3,6,6,6,3,5
